fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,May,29,TAMIL NADU,2920,MADURAI,907203,628.069500995855,6,250,0,3050,14,10335,92885,18564,66781,454,659,109.73486,693.117216,13641,14004,271832,319735,0,299556,360294,13385,583.382356,83271,60,13.11,9.17,100,NA
2025-2026,May,29,TAMIL NADU,2923,RAMANATHAPURAM,915564,275.504751019604,7,1784,0,1396,12,10795,223371,49943,62622,35,23,98.19498,713.592697400001,27994,29163,197847,243927,0,223163,271605,12191,615.397717400001,191409,63,20.48,26.29,100,NA
2025-2026,May,29,TAMIL NADU,2926,TIRUNELVELI,366597,361.118576765398,9,72,0,377,0,5676,82446,19872,33783,83,139,57.4524,355.1802218,8804,9092,96385,113511,0,120106,139449,6053,297.7278218,72605,41,6.91,13.78,100,NA
2025-2026,May,29,TAMIL NADU,2927,THOOTHUKKUDI,588756,308.804169987303,7,673,0,665,13,5353,273291,89347,58715,120,155,87.40211,931.3361142,37253,38339,150094,177698,0,171572,212831,6018,843.9340042,241910,20,34.88,34.78,100,NA
2025-2026,May,29,TAMIL NADU,2932,TIRUPPUR,454138,303.156207464325,9,168,0,1477,0,4926,242326,81272,62205,168,206,59.81218,794.4384913,26669,27305,133957,158631,0,179015,230346,6403,734.6263113,208425,53,38.37,60.93,100,NA
2025-2026,May,29,TAMIL NADU,2938,MAYILADUTHURAI,265639,323.126833382737,6,102,0,504,0,5338,111327,46247,106466,30,275,45.44548,405.1728898,15980,18574,153088,233351,0,161827,243200,5842,359.7274098,87476,46,27.25,25.06,100,NA
2025-2026,May,29,TAMIL NADU,2917,KARUR,455707,475.165908538474,7,243,0,319,0,5735,83926,19304,36330,12,25,43.13854,441.9262804,11629,11972,123792,154547,0,142690,177346,6054,398.7877404,73074,70,73.3,77.79,100,NA
2025-2026,May,29,TAMIL NADU,2920,MADURAI,907203,575.250388842949,6,349,0,3232,12,10366,107627,21585,66782,496,659,109.73486,728.859596,15908,16328,271846,319746,0,299567,360301,13598,619.124736,96536,59,13.52,9.74,100,NA
2025-2026,May,29,TAMIL NADU,2928,KANNIYAKUMARI,112139,303.350467151604,8,72,16.0813358,270,3,2097,52103,4159,4117,99,239,40.983,215.1190297,5934,6085,38297,47572,0,77584,95696,2367,158.0546939,43285,57,43.91,44.11,100,NA
2025-2026,May,29,TAMIL NADU,2932,TIRUPPUR,454138,285.540087846185,9,209,0,1723,0,4925,284133,97341,62250,197,206,59.81218,871.1257978,30363,31082,134037,158732,0,179037,230381,6648,811.3136178,244567,52,40.14,63.63,100,NA
2025-2026,May,29,TAMIL NADU,2936,TENKASI,447217,330.542259365994,11,126,0,709,0,5093,107570,24528,62151,3,71,57.27983,412.8441384,9706,10420,138562,189212,0,164435,218869,5802,355.5643084,83916,52,12.22,16.92,100,NA
2025-2026,May,29,TAMIL NADU,2903,CUDDALORE,1070851,299.82427170278,8,893,0,2162,3,12054,467371,157547,252177,3669,3451,149.32593,1550.6176269,58159,63820,418626,675434,0,469404,737160,14216,1401.2916969,375233,42,27.24,28.99,100,NA
2025-2026,May,29,TAMIL NADU,2907,SALEM,585616,350.04924931359,7,278,137.1621185,2449,0,11616,189027,34662,80964,14013,30112,101.14444,899.994153,23780,24385,341177,422616,0,437537,530636,14065,661.6875945,169119,56,14.09,21.13,100,NA
2025-2026,May,29,TAMIL NADU,2910,ERODE,360574,365.72001347644,8,197,0,1851,1,5370,83108,19009,45908,812,2957,65.5007,369.4432888,9254,9445,140156,163224,0,192122,224791,7221,303.9425888,70573,63,33.63,34.68,100,NA
2025-2026,May,29,TAMIL NADU,2925,SIVAGANGAI,699410,370.228960952911,5,127,0,1249,45,9066,66407,17884,45561,0,19,138.68792,384.5458661,11237,11432,186002,220793,0,202031,238365,10315,245.8579461,60324,42,19.09,19.88,100,NA
2025-2026,May,29,TAMIL NADU,2930,KRISHNAGIRI,796257,270.635337882711,8,213,9.03948419999999,842,9,8977,164125,20345,38657,920,2779,142.23463,595.4543625,19247,19663,254507,285353,0,295501,333181,9819,444.1802483,148937,69,11.79,14.89,100,NA
2025-2026,May,29,TAMIL NADU,2901,KANCHIPURAM,318323,315.742178461976,7,322,0.2901288,1386,0,3574,197084,76189,57048,4155,2530,65.11772,687.6851638,27727,28197,128327,156527,0,141402,177656,4960,622.277315,174554,53,30.2,44.76,100,NA
2025-2026,May,29,TAMIL NADU,2903,CUDDALORE,1070851,295.449270108136,8,1069,0,2215,3,12030,542094,185343,252191,4286,3444,149.32593,1750.9386963,67444,74046,418653,675477,0,469406,737176,14245,1601.6127663,435067,42,29.62,32.39,100,NA
2025-2026,May,29,TAMIL NADU,2906,TIRUVANNAMALAI,2032619,186.841947158615,6,6485,0,2953,7,9544,790706,194657,149689,22315,27630,208.20292,1685.5734067,123206,127729,512223,655820,0,540523,686341,12497,1477.3704867,657871,41,32.53,31.22,100,NA
2025-2026,May,29,TAMIL NADU,2901,KANCHIPURAM,318323,316.330880309622,7,323,0.2901288,1394,0,3667,197919,76384,57038,4173,2530,65.11772,691.4867638,27788,28270,128329,156523,0,141405,177652,5061,626.078915,175179,53,30.14,44.66,100,NA
2025-2026,May,29,TAMIL NADU,2903,CUDDALORE,1070851,298.01469759048,8,1110,40.4496413,2263,3,12113,559655,192379,252200,4543,3444,149.32593,1857.6297271,69582,76383,418668,675504,0,469413,737193,14376,1667.8541558,449517,42,29.84,32.58,100,NA
2025-2026,May,29,TAMIL NADU,2906,TIRUVANNAMALAI,2032619,201.883454542993,6,6650,0,2960,6,9593,812449,199613,149692,22741,27629,208.20292,1848.4030276,125993,130675,512232,655834,0,540534,686356,12553,1640.2001076,674781,41,33.06,31.57,100,NA
2025-2026,May,29,TAMIL NADU,2903,CUDDALORE,1070851,295.662204485162,8,1150,69.9164913,2327,3,12154,583524,199040,252205,4761,3453,149.32593,1944.5023434,72004,79067,418672,675512,0,469419,737207,14481,1725.2599221,468810,42,30.23,32.92,100,NA
2025-2026,May,29,TAMIL NADU,2908,NAMAKKAL,405009,254.379119393274,7,615,0.04995,1049,4,5670,245910,64061,63431,21061,20763,93.51801,719.1116525,33452,34229,181391,226568,0,220440,276503,6719,625.5436925,218718,43,32.04,49.69,100,NA
2025-2026,May,29,TAMIL NADU,2909,DHARMAPURI,628316,374.818338720104,6,235,15.5521,953,5,8918,137683,16576,37695,4918,8386,76.18605,607.7992833,22636,23157,241828,276447,0,276893,313872,9871,516.0611333,127684,56,32.02,34.84,100,NA
2025-2026,May,29,TAMIL NADU,2913,THANJAVUR,562860,364.413568942307,8,95,0,2348,31,7902,82453,19602,116677,131,118,130.98749,431.45741,10039,10688,271668,365751,0,297687,394560,10250,300.46992,70113,40,21.95,9,100,NA
2025-2026,May,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,546736,289.20293264216,6,757,0,2819,3,5643,284733,57307,82861,3367,5095,84.71954,908.1757262,43516,44534,302053,374013,0,321778,400174,8462,823.4561862,248418,47,28.41,39.39,100,NA
2025-2026,May,29,TAMIL NADU,2917,KARUR,455707,506.889633696337,7,230,0,316,0,5738,77777,18112,36330,12,25,43.13854,437.3820904,10685,10998,123792,154547,0,142689,177345,6054,394.2435504,67783,70,73.88,76.98,100,NA
2025-2026,May,29,TAMIL NADU,2918,PERAMBALUR,303983,285.923959397909,7,465,3.5266271,350,0,2305,237771,75537,55078,966,493,32.19221,715.563094600001,32747,35786,122744,174728,0,142945,197829,2655,679.844257500001,199228,53,44.63,45.62,100,NA
2025-2026,May,29,TAMIL NADU,2925,SIVAGANGAI,699410,322.266850553613,5,202,0,1335,26,9199,102418,25195,45564,6,19,138.68792,468.747183,17072,17365,186016,220811,0,202042,238372,10534,330.059263,93208,41,21.67,22.63,100,NA
2025-2026,May,29,TAMIL NADU,2931,ARIYALUR,401779,561.378116407101,6,97,0,1950,1,3139,67934,15987,56473,1636,3022,44.05282,425.4194296,10350,11406,179809,254659,0,192046,268253,5089,381.3666096,52148,48,15.73,13.73,100,NA
2025-2026,May,29,TAMIL NADU,2932,TIRUPPUR,454138,288.157338043255,9,184,0,1655,0,4986,258603,87685,62240,168,206,59.81218,804.9957009,28283,28954,134021,158712,0,179034,230374,6641,745.1835209,222604,52,40.42,63,100,NA
2025-2026,May,29,TAMIL NADU,2936,TENKASI,447217,348.993904921861,11,100,0,708,0,5067,97646,21568,62146,3,71,57.27983,398.0584184,8404,9047,138550,189193,0,164432,218864,5775,340.7785884,76919,52,11.66,14.4,100,NA
2025-2026,May,29,TAMIL NADU,2909,DHARMAPURI,628316,363.089547425711,6,235,15.5521,953,5,8903,137436,16570,37694,4910,8380,76.18605,590.7539004,22620,23140,241820,276438,0,276885,313864,9856,499.0157504,127443,56,32.43,34.79,100,NA
2025-2026,May,29,TAMIL NADU,2910,ERODE,360574,381.427328801939,8,201,0,1870,1,5481,84595,19419,45928,812,2958,65.5007,388.1691488,9419,9610,140176,163259,0,192169,224846,7351,322.6684488,71904,63,32.06,33.23,100,NA
2025-2026,May,29,TAMIL NADU,2915,TIRUVARUR,306441,531.709785918863,8,71,111.0117076,4404,20,4678,55166,20272,144956,0,39,94.31214,498.6468681,6151,7298,178893,271012,1,197109,292809,9082,293.3230205,39608,42,19.77,5.65,100,NA
2025-2026,May,29,TAMIL NADU,2922,DINDIGUL,813349,506.579768136355,7,262,0,2868,9,13174,147673,33956,82700,210,358,185.73584,933.817381,19025,19789,281164,340471,0,314180,375853,16042,748.081541,126840,78,37.4,37.48,100,NA
2025-2026,May,29,TAMIL NADU,2926,TIRUNELVELI,366597,377.076259391771,9,74,0,406,0,5691,83850,20233,33784,83,139,57.4524,373.6308435,8969,9263,96395,113527,0,120120,139469,6097,316.1784435,73867,41,6.97,13.98,100,NA
2025-2026,May,29,TAMIL NADU,2927,THOOTHUKKUDI,588756,315.395348718837,7,708,0,670,11,5405,282907,92591,58716,120,155,87.40211,979.6776292,39173,40313,150098,177711,0,171566,212832,6075,892.2755192,250484,20,35.56,35.45,100,NA
2025-2026,May,29,TAMIL NADU,2928,KANNIYAKUMARI,112139,309.411518327961,8,64,16.0813358,267,3,2056,46841,3649,4113,94,239,40.983,201.9957851,5281,5427,38241,47470,0,77519,95570,2323,144.9314493,38833,57,42.45,42.67,100,NA
2025-2026,May,29,TAMIL NADU,2933,CHENGALPATTU,407131,386.869421894326,7,623,0,2957,0,5346,228799,102468,103593,6025,4272,71.93118,957.0845486,28843,29531,194885,238792,0,219082,278459,8303,885.1533686,200804,52,16.67,22.96,100,NA
2025-2026,May,29,TAMIL NADU,2938,MAYILADUTHURAI,265639,320.787198219318,7,114,0,517,0,5348,118157,48947,106467,30,275,45.44548,424.4780098,16854,19602,153091,233371,0,161841,243232,5865,379.0325298,92868,46,29,24.94,100,NA
2025-2026,May,29,TAMIL NADU,2910,ERODE,360574,381.427328801939,8,201,0,1866,1,5356,84595,19419,45907,812,2957,65.5007,388.1691488,9419,9610,140156,163229,0,192157,224835,7222,322.6684488,71904,63,32.08,33.25,100,NA
2025-2026,May,29,TAMIL NADU,2913,THANJAVUR,562860,381.578042745841,8,88,0,2344,34,7645,75984,18400,116669,131,118,130.98749,420.92575,9339,9954,271641,365716,0,297669,394538,9989,289.93826,64410,39,21.67,8.71,100,NA
2025-2026,May,29,TAMIL NADU,2933,CHENGALPATTU,407131,388.749958550915,7,619,0,2924,0,5215,226543,101376,103589,5997,4272,71.93118,952.6169986,28716,29376,194878,238784,0,219081,278457,8139,880.6858186,199081,52,16.41,22.81,100,NA
2025-2026,June,29,TAMIL NADU,2911,COIMBATORE,233709,525.026377232143,9,11,48.3518675,1911,4,3859,22400,6854,28784,773,1740,66.8156,232.773376,2334,2388,74443,83185,0,109672,122581,5770,117.6059085,19795,60,32.64,23.85,100,NA
2025-2026,June,29,TAMIL NADU,2915,TIRUVARUR,432827,473.337358175053,8,101,111.0117076,4459,15,4690,71761,27508,144965,0,39,94.31214,544.9954692,8264,9693,178902,271030,1,197144,292862,9149,339.6716216,52602,42,19.17,7.36,100,NA
2025-2026,June,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,851548,302.117009071146,6,920,0,2855,3,5622,349129,70878,82871,4407,5095,84.71954,1139.4976326,52632,53923,302074,374043,0,321821,400229,8477,1054.7780926,305212,47,29.95,43.01,100,NA
2025-2026,June,29,TAMIL NADU,2920,MADURAI,1458744,538.719545100245,6,501,0,3267,8,10334,124445,25746,66784,496,659,109.73486,780.1443979,18750,19203,271855,319757,0,299581,360317,13601,670.4095379,111361,59,14.42,10.79,100,NA
2025-2026,June,29,TAMIL NADU,2925,SIVAGANGAI,876902,285.296953401884,5,314,0,1340,11,9233,148697,36141,45566,6,19,138.68792,562.9159308,24880,25342,186030,220827,0,202049,238379,10573,424.2280108,135007,42,24.42,25.51,100,NA
2025-2026,June,29,TAMIL NADU,2935,TIRUPATHUR,570365,559.242328676493,8,65,2.63,2928,0,5108,64994,10878,25397,1908,5018,41.46439,407.5683491,7645,7920,129439,149176,0,141744,164015,8036,363.4739591,57842,65,14.16,16.06,100,NA
2025-2026,June,29,TAMIL NADU,2937,KALLAKURICHI,841956,330.723871718825,9,510,9.79389,2477,0,10551,478449,144931,161816,19012,20567,86.42036,1678.559307,48814,57922,295523,511777,2,315940,536757,13028,1582.345057,350693,42,28.7,22.41,100,NA
2025-2026,June,29,TAMIL NADU,2901,KANCHIPURAM,443578,312.144217722681,7,385,0.2901288,1408,0,4070,248371,95834,57080,4936,2532,65.11772,840.6835638,32512,33132,128396,156605,0,141465,177720,5478,775.275715,219106,57,32.92,48.23,100,NA
2025-2026,June,29,TAMIL NADU,2903,CUDDALORE,1392715,283.8716346901,8,1572,130.0949813,2474,3,12045,741272,257516,252241,5668,3450,149.32593,2383.6818552,90226,99337,418745,675666,0,469475,737339,14519,2104.2609439,596310,42,33.88,37.9,100.01,NA
2025-2026,June,29,TAMIL NADU,2917,KARUR,605092,458.410768466413,7,282,0,325,0,5732,98625,24182,36333,12,25,43.13854,495.2461604,13788,14187,123798,154558,0,142692,177348,6057,452.1076204,85838,70,71.37,79.32,100,NA
2025-2026,June,29,TAMIL NADU,2923,RAMANATHAPURAM,1287283,283.934018475508,8,1998,0,1575,5,11363,285026,64500,62646,40,23,98.26998,907.5557555,34466,36034,197947,244041,0,223180,271629,12938,809.2857755,244403,65,22.07,27.67,100,NA
2025-2026,June,29,TAMIL NADU,2933,CHENGALPATTU,627014,359.179338512784,7,910,0,3243,0,5394,329636,146453,103513,7856,4267,71.93118,1255.9155843,41814,42708,194854,238599,0,218995,278196,8637,1183.9844043,290587,53,17.33,29.91,100,NA
2025-2026,June,29,TAMIL NADU,2910,ERODE,467061,359.096294293541,8,276,0,2074,1,5465,111698,26972,45941,1310,2961,65.5007,466.6040788,12755,13009,140224,163322,0,192196,224891,7539,401.1033788,95018,62,33.62,36.07,100,NA
2025-2026,June,29,TAMIL NADU,2913,THANJAVUR,892913,329.342949476485,7,139,0,2387,15,8244,122537,33791,116696,160,119,130.98749,534.55446,16000,16992,271745,365871,0,297803,394735,10631,403.56697,103924,42,24.9,12.89,100,NA
2025-2026,June,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,851548,302.110008447373,6,920,0,2882,3,5700,349221,70906,82876,4407,5095,84.71954,1139.7511326,52650,53942,302090,374084,0,321860,400299,8582,1055.0315926,305290,47,29.93,41.18,100,NA
2025-2026,June,29,TAMIL NADU,2923,RAMANATHAPURAM,1287283,280.105090556073,8,2001,0.00679,1593,5,11490,288937,64938,62648,40,23,98.26998,907.6040155,34687,36275,197967,244062,0,223181,271630,13083,809.3272455,247743,65,21.82,27.34,100,NA
2025-2026,June,29,TAMIL NADU,2925,SIVAGANGAI,876902,306.755219338254,6,330,0,1421,7,9407,156767,37448,45571,6,19,138.68792,619.5788747,26034,26515,186040,220841,0,202056,238389,10828,480.8909547,142450,41,24.54,25.65,100,NA
2025-2026,June,29,TAMIL NADU,2930,KRISHNAGIRI,1214984,277.054770719553,8,311,9.03948419999999,949,2,9355,238398,30812,38681,1214,2780,142.23463,811.7671465,28432,29063,254598,285479,0,295572,333267,10304,660.4930323,216686,68,13.52,18.16,100,NA
2025-2026,June,29,TAMIL NADU,2935,TIRUPATHUR,570365,548.355072955886,8,71,2.63,2943,0,5290,70385,12178,25398,2056,5018,41.46439,430.0541081,8325,8626,129448,149186,0,141754,164033,8233,385.9597181,62753,66,12.9,15.31,100,NA
2025-2026,June,29,TAMIL NADU,2937,KALLAKURICHI,841956,321.969891198974,9,586,9.79389,2505,0,10698,536392,161317,161830,19071,20571,86.42036,1823.2349888,54273,64282,295571,511842,2,315950,536773,13203,1727.0207388,393938,43,28.71,23.03,100,NA
2025-2026,June,29,TAMIL NADU,2938,MAYILADUTHURAI,378653,300.579709420704,7,146,0,611,0,5311,155689,64611,106484,47,275,45.44548,513.4150238,21337,24971,153104,233403,0,161886,243298,5922,467.9695438,122259,45,33.66,29.66,100,NA
2025-2026,June,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,851548,303.077891151857,6,896,0,2824,3,5650,339721,68936,82868,4354,5095,84.71954,1114.3387826,51132,52376,302072,374041,0,321817,400223,8474,1029.6192426,296992,47,29.65,42.71,100,NA
2025-2026,June,29,TAMIL NADU,2924,VIRUDHUNAGAR,1251670,252.91894984534,8,727,0,591,4,3922,248611,79422,75732,30,118,79.45075,708.235080399999,30484,31653,215814,264812,0,247365,299201,4513,628.784330399999,210785,39,13.57,37.04,100,NA
2025-2026,June,29,TAMIL NADU,2937,KALLAKURICHI,841956,339.703403011732,9,458,9.79389,2462,0,10511,423278,127422,161881,18613,20524,86.42036,1534.1040202,43792,51803,295518,511831,2,315918,536800,12973,1437.8897702,310741,42,28.25,21.51,100,NA
2025-2026,June,29,TAMIL NADU,2901,KANCHIPURAM,443578,310.493092307971,7,362,0.2901288,1395,0,3918,220696,85069,57058,4526,2532,65.11772,750.6536838,30041,30596,128369,156571,0,141416,177666,5313,685.245835,194523,55,31.05,46.52,100,NA
2025-2026,June,29,TAMIL NADU,2906,TIRUVANNAMALAI,3152728,186.486068637042,6,8615,0,3095,4,9690,1225519,295203,149722,34011,27634,208.27792,2493.7001235,178875,185584,512342,656020,0,540608,686500,12785,2285.4222035,1017177,42,38.1,37.53,100,NA
2025-2026,June,29,TAMIL NADU,2910,ERODE,467061,339.099837421339,8,336,0,2152,1,5414,127446,31510,45946,1362,2961,65.5007,497.6698788,14550,14837,140242,163345,0,192197,224893,7566,432.1691788,108092,62,35.49,38.31,100,NA
2025-2026,June,29,TAMIL NADU,2925,SIVAGANGAI,876902,287.05002796219,6,358,0,1423,7,9463,172018,40465,45571,10,19,138.68792,632.4656371,28159,28661,186041,220843,0,202068,238403,10886,493.7777171,156731,41,24.99,26.09,100,NA
2025-2026,June,29,TAMIL NADU,2930,KRISHNAGIRI,1214984,254.571588073772,8,343,9.03948419999999,950,2,9460,264761,34768,38685,1498,2780,142.23463,825.2803965,30852,31521,254610,285496,0,295574,333272,10410,674.0062823,240701,68,14.56,19.55,100,NA
2025-2026,June,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,851548,289.166924479693,6,868,0,2824,3,5651,326826,66444,82861,4349,5095,84.71954,1029.7922326,49570,50765,302057,374020,0,321792,400191,8475,945.0726926,285717,47,29.51,42.19,100,NA
2025-2026,June,29,TAMIL NADU,2922,DINDIGUL,1192465,466.975937166369,8,286,0,2912,9,13251,166726,37840,82703,277,358,185.73584,964.306141,20741,21607,281194,340505,0,314190,375864,16163,778.570301,143498,78,36.83,38,100,NA
2025-2026,June,29,TAMIL NADU,2924,VIRUDHUNAGAR,1251670,261.612000510791,8,642,0,584,4,3922,223183,70687,75728,30,118,79.45075,663.324261099999,27385,28411,215796,264788,0,247339,299171,4506,583.873511099999,189029,39,13.48,34.88,100,NA
2025-2026,June,29,TAMIL NADU,2932,TIRUPPUR,630125,285.540087846185,9,209,0,1723,0,4925,284133,97341,62250,197,206,59.81218,871.1257978,30363,31082,134037,158732,0,179037,230381,6648,811.3136178,244567,52,40.14,63.63,100,NA
2025-2026,June,29,TAMIL NADU,2902,TIRUVALLUR,1212916,211.055553962343,7,745,4.6553256,2261,2,11501,564199,179972,118013,31117,8636,137.59016,1333.0188105,71351,72458,264893,310900,0,309760,376251,13762,1190.7733249,511823,43,29.88,30.09,100,NA
2025-2026,June,29,TAMIL NADU,2907,SALEM,873922,313.301040217466,8,490,198.6673715,2803,0,11781,321154,59110,80976,25304,30143,101.14444,1305.9906342,38904,39862,341294,422778,0,437607,530739,14584,1006.1788227,287734,55,18.15,25.84,100,NA
2025-2026,June,29,TAMIL NADU,2909,DHARMAPURI,921898,328.100875187521,6,390,15.5521,986,4,8953,227974,28504,37699,7557,8387,76.18605,839.7228392,35884,36805,241893,276503,0,276922,313885,9939,747.9846892,211776,56,39.19,43.33,100,NA
2025-2026,June,29,TAMIL NADU,2927,THOOTHUKKUDI,868701,297.494066331188,7,871,0,769,5,5589,397641,130284,58746,154,155,87.40211,1270.3604903,51767,53422,150202,177839,0,171652,212938,6358,1182.9583803,351848,23,39.11,38.88,100,NA
2025-2026,June,29,TAMIL NADU,2938,MAYILADUTHURAI,378653,294.417566568737,7,156,0,632,0,5345,171552,71785,106486,59,275,45.44548,550.5247038,23204,27227,153113,233413,0,161887,243300,5977,505.0792238,134655,46,33.86,30.16,100,NA
2025-2026,June,29,TAMIL NADU,2902,TIRUVALLUR,1212916,210.646669513671,7,747,4.6553256,2261,2,11506,570190,181630,118017,31595,8636,137.59016,1343.3317305,71801,72921,264899,310908,0,309761,376252,13767,1201.0862449,517249,43,30.07,30.31,100,NA
2025-2026,June,29,TAMIL NADU,2906,TIRUVANNAMALAI,3152728,182.705256562257,6,8902,0,3099,4,9700,1309877,313410,149729,34838,27637,208.27792,2601.49205349999,188712,195593,512389,656071,0,540615,686511,12799,2393.21413349999,1088224,42,38.87,38.39,100,NA
2025-2026,June,29,TAMIL NADU,2901,KANCHIPURAM,443578,307.722516732472,8,483,0.2901288,1460,0,4381,308233,117977,57111,5872,2531,65.11772,1013.9101938,37652,38409,128466,156685,0,141498,177759,5841,948.502345,270854,58,34.59,48.48,100,NA
2025-2026,June,29,TAMIL NADU,2905,VELLORE,467503,507.659141369048,9,114,0,1605,1,7319,100800,26607,37812,5106,4627,49.70634,561.4267545,11151,11527,132551,155174,0,146523,185632,8924,511.7204145,87337,67,14.92,18.12,100.01,NA
2025-2026,June,29,TAMIL NADU,2919,PUDUKKOTTAI,946757,263.347548947102,7,567,0,2447,5,9063,642275,108039,82029,12,3,122.41406,1813.82953,81221,84464,293599,424108,0,332532,474501,11510,1691.41547,579250,44,16.28,48.11,100,NA
2025-2026,June,29,TAMIL NADU,2925,SIVAGANGAI,876902,282.368264032287,6,631,0,1487,3,9633,287177,66178,45579,12,19,138.68792,949.584629600001,45926,46773,186071,220879,0,202089,238432,11120,810.896709600001,261330,41,31.55,32.91,100,NA
2025-2026,June,29,TAMIL NADU,2926,TIRUNELVELI,545310,344.757100637464,10,111,0,531,0,5789,131929,31608,33791,114,139,57.4524,512.2869953,13174,13561,96487,113642,0,120137,139493,6320,454.8345953,115962,42,8.19,17.47,100,NA
2025-2026,June,29,TAMIL NADU,2930,KRISHNAGIRI,1214984,272.984023090982,8,406,22.7970376,1582,1,9015,314062,41914,38692,1773,2780,142.23463,1022.3707502,36490,37287,254650,285542,0,295599,333305,10597,857.3390826,285694,68,15.56,21.88,100,NA
2025-2026,June,29,TAMIL NADU,2932,TIRUPPUR,630125,289.053731225719,10,267,0,2117,0,4917,355473,124664,62307,221,206,59.81218,1087.32015,35422,36300,134155,158891,0,179070,230423,7034,1027.50797,305609,52,38.87,64.51,100,NA
2025-2026,June,29,TAMIL NADU,2935,TIRUPATHUR,570365,478.322821532584,8,99,2.63,3003,0,5552,95799,16429,25412,2886,5022,41.46439,502.3228698,11346,11755,129487,149236,0,141778,164068,8555,458.2284798,86175,66,13.02,19.26,100,NA
2025-2026,June,29,TAMIL NADU,2938,MAYILADUTHURAI,378653,283.938620426939,7,189,0,645,0,5386,208695,89637,106490,113,275,45.44548,638.0111839,27829,32682,153126,233431,0,161904,243323,6031,592.5657039,164111,46,36.79,33.84,100,NA
